AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059001602,"06059001602","6059001602",3.62,2.79,-0.830
1400000US06059001705,"06059001705","6059001705",10.10,3.82,-6.280
1400000US06059001706,"06059001706","6059001706",5.78,3.50,-2.280
1400000US06059001903,"06059001903","6059001903",12.04,7.52,-4.520
1400000US06059011300,"06059011300","6059011300",13.03,7.47,-5.560
1400000US06059011502,"06059011502","6059011502",8.80,9.53,0.730
1400000US06059011503,"06059011503","6059011503",12.11,6.91,-5.200
1400000US06059011707,"06059011707","6059011707",9.58,2.59,-6.990
1400000US06059011710,"06059011710","6059011710",16.38,9.96,-6.420
1400000US06059011715,"06059011715","6059011715",11.45,5.92,-5.530
1400000US06059011721,"06059011721","6059011721",9.50,3.90,-5.600
1400000US06059021807,"06059021807","6059021807",9.02,7.25,-1.770
1400000US06059052502,"06059052502","6059052502",7.92,2.32,-5.600
1400000US06059052511,"06059052511","6059052511",9.51,2.26,-7.250
1400000US06059052519,"06059052519","6059052519",7.36,3.95,-3.410
1400000US06059052522,"06059052522","6059052522",3.76,5.24,1.480
